6.25,0.00,0.00,0.00,10.00
0.00,2.12,0.00,0.00,1.52
0.00,2.35,0.00,0.00,3.82
0.00,3.87,0.00,0.00,4.52
0.00,10.00,0.00,0.00,4.47
0.00,0.00,0.00,0.97,1.94
0.00,0.00,0.00,10.00,3.50
1.82,2.73,0.00,3.86,10.00
0.00,0.00,0.00,0.00,4.29
0.00,10.00,0.00,0.00,5.43
0.00,0.00,0.00,0.00,0.94
0.00,0.00,0.00,0.00,4.44
0.00,0.00,0.00,0.00,3.02
0.00,0.00,0.00,5.77,1.54
0.00,8.38,0.00,0.00,2.43
6.52,0.00,7.17,0.00,0.87
0.00,0.00,0.00,0.00,0.61
0.00,0.00,8.85,0.00,1.35
0.00,0.00,0.00,0.00,1.21
3.71,0.00,5.14,8.29,2.00
0.00,10.00,0.00,0.00,3.59
0.00,0.00,0.00,8.38,0.81
0.00,1.82,0.00,0.00,1.82
0.00,0.00,0.00,0.00,5.13
0.00,0.00,0.00,0.00,0.94
0.00,5.14,0.00,0.00,7.71
3.83,0.00,0.00,0.00,8.72
0.00,0.00,0.00,0.00,3.86
0.00,0.00,0.00,1.71,4.86
0.00,0.00,2.56,0.00,4.87
0.00,0.00,0.00,2.68,6.10
0.00,2.97,0.00,2.16,5.41
0.00,0.00,3.45,0.00,1.03
10.00,0.00,0.00,3.68,2.11
0.00,0.00,0.00,0.00,6.76
6.67,0.00,2.42,0.00,2.42
0.00,0.00,0.00,4.52,8.57
0.00,0.00,0.00,0.00,6.07
0.00,0.00,4.21,0.00,2.37
7.20,0.00,0.00,2.00,5.60
0.00,0.00,0.00,0.62,3.75
3.10,0.00,0.00,0.00,7.59
0.00,0.00,0.00,0.00,5.14
0.00,0.00,0.00,0.00,3.41
0.00,4.51,0.00,0.00,2.55
0.00,0.00,6.00,0.00,2.00
1.79,0.00,0.00,0.00,5.38
3.33,0.00,0.00,0.00,3.61
0.00,0.00,0.00,0.00,2.61
0.00,0.00,0.00,0.00,10.00
0.00,3.33,0.00,3.33,6.67
0.00,0.00,0.00,0.00,3.94
0.00,4.69,0.00,0.00,2.50
0.00,0.00,0.00,0.00,4.00
0.00,5.81,1.16,0.00,0.93
7.41,0.00,0.00,5.19,3.70
0.00,2.44,0.00,0.00,0.98
2.50,0.00,0.00,1.94,6.11
0.00,0.00,0.00,0.00,2.86
6.06,0.00,0.00,0.00,2.42
0.00,0.00,0.00,0.00,10.00
0.00,0.40,4.40,0.00,4.00
0.00,2.00,0.00,0.00,10.00
0.00,0.00,5.59,0.00,1.18
0.00,0.00,0.00,0.00,0.34
0.00,0.00,0.00,1.76,5.88
0.00,0.00,0.00,0.00,4.00
0.00,0.00,0.00,0.00,4.33
0.00,2.70,0.00,0.00,6.76
7.35,0.00,0.00,0.00,0.88
2.97,0.00,0.00,4.59,2.43
0.00,0.00,2.86,0.00,1.67
9.35,0.00,0.00,0.00,3.87
0.00,0.00,4.05,0.00,10.00
5.88,6.47,0.00,0.00,5.88
0.00,0.00,0.00,0.00,6.50
0.00,0.00,0.00,0.00,2.86
0.00,2.16,0.00,8.92,1.62
0.00,0.00,0.00,0.00,1.43
0.00,0.00,0.00,0.00,3.19
5.76,0.00,0.00,0.00,0.61
0.00,0.00,0.00,0.00,2.97
0.00,3.75,4.00,0.00,1.00
0.00,0.00,0.00,0.00,2.42
4.05,10.00,0.00,0.00,3.78
0.00,0.00,0.00,0.00,1.11
0.00,0.00,8.00,0.00,0.67
0.00,0.00,0.00,0.00,5.33
0.00,0.00,0.00,0.79,7.37
0.00,0.00,0.00,0.00,4.50
0.00,10.00,0.00,3.03,5.45
0.00,0.00,5.37,9.02,1.71
0.00,0.00,0.00,7.50,2.81
0.00,7.00,0.00,0.00,6.50
0.00,1.33,0.00,0.00,2.44
0.00,0.00,0.00,0.00,7.69
0.00,0.00,0.00,0.00,4.38
0.00,0.00,0.00,0.00,2.63
0.00,0.00,6.60,0.00,4.68
0.00,0.00,0.00,0.00,2.07
0.00,2.83,0.00,0.00,6.50
3.53,0.00,0.00,0.00,4.71
0.00,0.00,0.00,0.00,4.69
0.00,1.52,6.96,2.17,10.00
0.30,0.00,0.00,0.00,10.00
0.00,0.00,1.30,1.74,6.09
0.00,5.13,0.00,0.00,0.26
0.00,0.00,0.00,0.00,6.76
0.00,0.00,0.00,0.00,9.23
0.00,0.97,2.90,0.00,2.90
0.00,0.00,0.00,7.27,7.50
0.00,0.00,0.00,0.00,9.52
0.00,10.00,3.48,1.74,5.22
0.37,0.00,0.00,0.00,9.63
0.00,0.00,0.00,0.00,4.59
4.83,0.00,0.00,2.41,4.83
0.00,0.00,0.00,0.00,3.33
0.00,0.00,0.00,0.00,6.21
