5.25,6.25,1.75,5.25,1.50,5.00,0.00,0.00,2.50
0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,1.25
5.78,0.00,0.00,0.00,0.00,0.00,0.00,2.22,4.89
0.00,0.00,0.00,0.00,0.00,0.00,7.50,0.00,8.12
0.00,0.00,0.00,0.00,2.19,0.00,0.31,0.00,6.56
0.00,4.84,0.00,0.00,0.00,0.00,0.00,0.00,0.65
0.00,0.00,8.57,0.00,0.00,0.00,5.43,0.00,2.86
0.00,0.00,0.00,0.00,6.56,0.00,0.00,0.00,5.31
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,4.57
3.97,0.00,10.00,0.00,0.00,0.48,0.00,0.00,5.71
0.00,5.75,0.00,0.00,0.00,1.25,0.00,0.00,3.50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.77
0.00,0.00,0.00,0.00,5.68,0.00,0.00,0.00,2.43
0.00,0.00,2.22,3.89,0.00,4.72,0.00,0.00,3.06
0.71,0.00,0.00,0.00,5.71,0.00,0.00,0.00,10.00
0.00,0.00,0.00,0.00,6.45,0.00,0.00,0.00,1.61
3.06,0.00,6.94,0.00,0.00,0.00,0.00,0.00,4.72
0.00,0.00,5.71,0.00,0.00,0.00,0.00,3.93,3.75
6.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.00
0.00,0.00,4.10,0.51,0.00,5.90,0.00,0.00,3.59
1.79,0.00,2.50,0.00,4.64,0.00,0.00,0.00,5.71
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.18
0.00,0.00,2.86,0.00,0.00,0.00,0.00,0.00,4.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.41
10.00,0.00,0.00,0.00,0.00,3.18,0.00,0.00,7.73
0.00,7.03,0.00,0.00,0.00,0.00,0.00,10.00,1.08
1.43,3.14,1.43,0.00,0.00,0.00,0.00,0.00,5.43
1.79,0.00,0.00,0.00,0.00,6.07,0.00,0.00,6.43
0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,2.05
0.29,0.00,0.00,5.59,3.53,0.00,4.12,0.00,4.71
4.80,0.00,5.80,0.00,0.00,6.60,0.00,0.00,0.40
3.79,0.00,0.00,9.66,0.00,0.00,0.00,0.00,4.83
0.00,2.57,0.00,0.00,0.00,0.00,0.00,0.00,6.57
0.00,0.00,2.61,3.91,0.00,0.00,0.00,0.00,5.87
0.00,0.00,0.00,8.11,0.00,0.00,0.00,0.00,1.62
0.00,0.00,0.00,0.00,0.00,8.10,6.67,4.52,2.38
0.00,0.00,6.97,0.00,3.94,0.00,4.24,7.58,8.48
1.18,10.00,0.00,0.00,0.00,3.53,4.71,0.00,9.71
0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,2.00
1.29,0.00,4.52,0.00,0.00,10.00,0.00,0.00,1.61
0.00,10.00,0.00,0.00,0.00,2.50,0.00,0.00,4.29
0.00,0.00,0.00,0.00,6.56,6.56,0.00,0.62,3.12
0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.00,2.35
5.83,0.00,0.00,0.00,0.00,6.39,0.00,0.00,1.11
0.00,0.00,0.00,0.00,2.67,8.00,0.00,0.00,5.00
0.00,4.23,4.62,0.00,0.00,0.00,0.96,0.00,5.00
0.00,0.00,4.57,0.00,0.00,0.00,10.00,7.14,5.14
0.00,5.93,0.00,3.70,0.00,6.67,0.00,0.00,4.07
0.00,0.00,0.00,0.00,4.71,0.00,0.00,4.12,2.65
3.14,0.00,0.00,0.00,0.00,1.14,0.00,0.00,4.86
0.00,1.79,0.00,2.05,0.00,0.00,0.00,0.00,4.36
0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,9.44
6.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23
2.16,0.00,0.00,0.00,4.86,0.00,0.00,0.00,5.41
0.44,0.00,0.00,1.78,0.00,6.44,0.00,0.00,10.00
2.50,0.00,7.73,0.00,0.00,4.09,0.00,0.00,6.14
