0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75
0.00,0.00,0.00,3.33,0.00,0.00,0.00,3.81
0.59,2.35,0.00,5.88,8.53,0.00,0.00,10.00
0.00,1.19,0.00,0.00,0.00,0.00,0.00,4.76
0.00,0.00,3.91,0.00,4.57,0.00,0.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45
0.00,2.00,0.00,0.00,0.00,0.00,0.00,5.20
0.00,6.46,0.00,2.50,0.00,0.00,0.00,2.08
0.00,6.25,0.00,0.00,0.00,10.00,0.00,2.75
0.00,2.50,0.00,0.00,0.00,0.00,0.00,9.38
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.54
4.89,0.00,6.44,0.00,0.00,0.00,0.00,2.67
0.00,2.05,0.00,7.95,9.49,0.00,0.00,1.54
0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.57
1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.73
0.00,0.00,0.00,4.55,0.00,0.00,0.00,3.94
0.00,0.00,0.00,0.00,0.00,0.00,3.93,6.96
10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
3.64,0.00,0.30,0.00,2.73,0.00,0.00,0.91
0.00,0.00,0.00,0.00,4.64,0.00,0.00,5.36
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56
0.00,2.65,6.47,0.00,0.00,0.00,0.00,5.29
0.00,0.00,3.08,0.00,0.00,2.31,0.00,6.92
6.36,10.00,0.00,5.76,9.09,0.00,0.00,0.91
0.00,0.00,0.00,1.89,0.00,0.00,10.00,3.24
0.00,0.00,3.43,0.00,0.00,0.00,0.00,1.71
0.00,0.00,0.00,0.00,0.00,0.00,1.71,4.29
2.70,0.00,0.00,0.00,0.00,0.81,0.00,7.30
0.00,3.64,0.00,0.00,0.00,0.00,7.27,6.06
0.00,0.00,3.00,0.00,0.00,2.25,0.00,5.50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.82
0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00
0.00,2.97,0.00,0.00,0.00,0.00,2.16,5.95
2.07,0.00,0.00,8.28,0.00,2.76,0.00,5.52
0.00,0.00,4.76,0.00,0.00,0.00,0.00,3.10
0.00,1.76,7.06,0.00,0.00,0.00,0.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.73
5.23,0.00,0.00,0.00,0.00,4.32,0.00,8.64
0.00,0.00,0.00,7.11,0.00,0.00,0.00,2.89
0.00,0.00,4.05,0.00,0.00,6.67,4.52,2.14
0.00,0.00,0.00,0.00,1.84,0.00,0.00,6.05
1.94,0.00,0.00,4.44,0.00,0.00,0.00,3.61
0.00,0.00,0.00,0.00,2.33,1.86,0.00,1.40
0.00,0.00,0.00,4.38,0.00,0.00,0.00,10.00
0.00,0.00,0.00,0.00,0.00,0.00,4.04,8.09
