44.00,0.00,0.00,0.45,0.00,6.59,0.00,0.00,5.00,4.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,6.59
30.00,0.00,0.00,5.67,0.00,0.00,6.67,0.00,2.00,3.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00
28.00,0.00,6.43,0.00,4.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00
45.00,0.00,8.22,0.00,0.00,0.00,5.56,0.00,0.00,0.00,0.00,5.56,0.00,3.33,2.00,0.00,0.89,2.89,0.00,10.00,0.00
41.00,0.00,5.85,0.00,0.00,0.00,0.00,0.00,0.00,2.44,0.00,2.20,0.00,0.00,3.17,0.00,0.00,10.00,0.00,0.00,0.00
44.00,0.00,2.73,0.00,4.55,0.00,1.82,0.00,0.00,4.77,0.00,0.00,2.05,0.00,8.64,8.64,0.00,0.00,0.00,0.00,0.00
31.00,0.00,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.94,9.68,1.94,0.00,0.00,0.00,9.03,1.29,0.00,0.00
47.00,0.00,0.00,4.26,0.00,0.00,0.00,0.00,0.00,4.04,0.00,0.00,5.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.74
36.00,4.72,0.00,3.89,0.00,5.28,0.00,0.00,0.00,4.44,1.94,0.00,0.00,0.00,0.00,0.00,5.83,0.00,8.33,0.00,0.00
42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.86,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.95
35.00,0.00,0.00,5.71,0.00,0.00,0.00,0.00,0.00,1.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00
35.00,6.86,0.00,1.43,0.00,0.00,0.00,3.43,0.00,2.29,0.00,0.00,0.00,0.00,6.57,0.00,0.00,0.00,0.00,0.00,0.00
20.00,0.00,8.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41.00,0.00,0.00,0.00,0.00,8.54,0.00,1.71,0.00,4.39,0.00,3.41,0.00,0.00,0.00,0.00,0.00,0.00,4.15,0.00,0.00
47.00,2.55,0.00,10.00,0.00,5.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.38,5.74
29.00,0.00,3.79,0.00,2.76,0.00,8.28,0.00,0.00,3.10,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,4.14,0.00,6.55
31.00,7.10,0.65,0.00,0.00,0.00,5.81,0.00,5.16,0.00,4.52,0.00,0.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00
33.00,1.21,0.00,0.00,0.00,3.94,0.00,0.00,0.00,0.00,0.00,0.00,5.15,0.00,0.00,0.00,0.00,0.00,0.00,3.64,0.00
29.00,0.00,0.00,0.00,0.00,5.52,0.00,0.00,0.00,0.00,4.14,0.34,0.00,0.00,0.00,0.34,0.00,0.00,0.00,4.48,0.00
33.00,6.97,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28.00,4.64,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.93,0.00,0.00,0.00,0.00,7.86,5.00,0.00
38.00,0.00,0.00,0.00,0.00,0.00,4.21,0.00,0.00,10.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.79,2.89,4.74
28.00,0.00,4.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00
48.00,0.00,0.00,4.17,4.38,4.58,0.00,0.83,10.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35.00,0.00,0.00,4.86,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,5.71,0.00,0.00,0.00,0.00
39.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,10.00,5.13,6.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31.00,0.00,0.00,0.00,0.00,2.90,9.35,2.90,0.00,0.00,6.45,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39.00,0.00,3.59,0.00,0.00,0.00,0.00,9.23,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,3.85,0.00
30.00,0.00,0.00,0.00,7.33,0.00,0.00,0.00,4.33,0.00,5.67,0.00,1.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00
30.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,6.33,0.00,4.33,0.00,0.67,5.00,2.00,0.00,0.00,9.33,10.00,0.00,0.00
33.00,0.00,0.00,0.00,0.00,3.64,0.91,0.00,0.00,0.30,0.00,0.00,0.00,2.73,0.00,0.00,10.00,0.00,0.00,0.00,0.00
26.00,0.00,0.00,5.77,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.54,0.00,0.00,6.54
40.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,2.00,0.00,0.00,0.00,2.00,0.00
28.00,0.00,0.00,0.00,6.07,0.00,0.00,0.00,0.00,0.00,0.00,1.79,5.71,8.57,0.00,0.00,4.29,0.00,0.00,5.71,5.36
37.00,0.00,0.00,0.00,0.00,0.00,6.49,0.00,0.00,3.78,0.00,0.00,0.00,0.00,6.76,0.00,0.00,0.00,0.00,0.00,0.00
25.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,0.00,0.00,3.60,0.00,2.80,0.00,0.00,0.00,0.00,4.80
39.00,0.00,0.26,5.90,0.00,0.77,5.13,0.00,4.62,0.00,0.00,0.00,0.00,3.33,10.00,0.00,1.79,0.00,0.00,0.00,0.00
50.00,0.00,4.40,0.00,0.00,0.00,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.60,0.00,5.20,0.00,0.00
32.00,4.38,0.62,0.00,0.00,7.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.75,0.00,0.00,5.62,0.00
33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,9.70,0.00,0.00,0.30,0.00,0.00,0.00,0.00,1.82,0.00
46.00,0.00,5.22,2.83,0.00,0.00,0.00,0.00,0.00,6.52,3.70,0.00,3.48,0.00,0.00,0.00,3.91,0.00,0.00,0.00,7.83
47.00,0.00,0.00,0.00,0.00,0.00,6.60,0.00,0.00,0.00,0.00,2.13,4.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49.00,0.00,5.92,0.00,0.00,0.00,0.00,0.00,0.00,3.27,0.00,0.00,0.20,7.14,6.73,4.08,0.00,0.00,0.00,0.00,0.00
26.00,0.00,0.00,3.85,3.08,0.00,6.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
